GAIADR3_ID,LAMOSTDR9_OBSID,C_F1,eC_F1,C_F2,eC_F2,C_F3,eC_F3,C_F4,eC_F4,C_F5,eC_F5,C_F6,eC_F6,C_F7,eC_F7,C_F8,eC_F8,C_F9,eC_F9,C_F10,eC_F10,PLXcorr,PLXerr,Bpmag,Bperr,Rpmag,Rperr,BpRp,MRp,CarbonMedian,CarbonMAD,Visual Inspection
12267251231101952,313611158,9.544,0.523,2.356,0.128,0.931,0.219,1.248,0.269,-1.055,0.29,-2.377,0.247,1.037,0.13,1.941,0.109,1.844,0.081,2.041,0.076,0.778,0.02,12.591,0.002,10.95,0.0,1.641,0.404,0.988,0.018,no inspected
13179987617045504,308908055,11.779,2.278,2.577,0.405,1.455,0.539,2.224,0.489,-0.543,0.49,-2.712,0.378,0.898,0.201,2.168,0.184,2.196,0.124,2.508,0.115,1.181,0.022,12.209,0.001,10.402,0.001,1.807,0.763,0.98,0.03,no inspected
13356699751227008,308904123,10.836,0.623,2.686,0.128,0.801,0.204,0.859,0.238,-1.185,0.226,-2.507,0.156,0.968,0.085,2.022,0.076,2.042,0.05,2.229,0.049,1.419,0.019,11.493,0.001,9.795,0.001,1.698,0.555,0.811,0.275,no inspected
17993821321787520,406608113,11.316,0.303,2.72,0.073,2.233,0.099,2.368,0.13,-0.69,0.167,-2.78,0.12,0.988,0.075,2.53,0.064,2.334,0.041,2.602,0.042,1.083,0.019,11.798,0.001,10.223,0.001,1.575,0.395,1.0,0.0,no inspected
18682356118844416,293511209,5.766,0.308,2.51,0.067,1.518,0.123,1.581,0.179,-0.054,0.19,-0.939,0.148,0.652,0.1,1.163,0.088,1.053,0.069,0.9,0.063,0.712,0.019,12.041,0.001,10.82,0.0,1.222,0.083,0.771,0.326,no inspected
19002314002679424,364708188,11.282,0.4,3.022,0.09,1.699,0.155,1.235,0.185,-1.278,0.209,-2.948,0.161,1.019,0.079,2.557,0.069,2.205,0.045,2.663,0.047,0.829,0.015,12.089,0.001,10.514,0.0,1.575,0.105,0.973,0.04,no inspected
22710382607717376,364714027,12.011,0.828,2.59,0.162,1.95,0.214,2.782,0.269,-0.334,0.252,-2.187,0.189,0.914,0.101,2.556,0.091,2.233,0.052,2.812,0.053,0.908,0.021,12.371,0.001,10.716,0.001,1.655,0.507,1.0,0.0,no inspected
24628648145616128,299103008,9.414,1.579,2.552,0.34,1.85,0.442,1.687,0.53,-0.483,0.62,-1.903,0.565,1.048,0.289,2.053,0.233,1.883,0.164,2.24,0.147,0.516,0.02,13.289,0.001,11.814,0.001,1.476,0.379,0.835,0.244,no inspected
24807868540868608,364711086,11.333,0.262,2.102,0.07,1.528,0.107,1.615,0.15,-0.472,0.15,-1.615,0.107,0.714,0.069,1.86,0.059,2.254,0.04,2.804,0.04,1.622,0.015,10.526,0.001,9.108,0.0,1.418,0.158,0.667,0.459,no inspected
29446914256676480,56306028,12.694,1.551,2.257,0.298,1.305,0.389,1.858,0.368,-0.0,0.384,-2.958,0.313,0.746,0.139,1.921,0.121,1.979,0.074,2.371,0.071,1.159,0.023,12.027,0.001,10.326,0.001,1.702,0.646,0.984,0.024,no inspected
33485596559824384,593203005,-2.877,3.315,3.034,0.631,4.974,0.845,5.221,1.059,1.197,2.098,0.821,1.204,1.487,0.631,1.092,0.619,0.267,0.908,0.196,0.657,0.784,0.11,17.479,0.015,16.371,0.007,1.108,5.842,0.988,0.017,no inspected
35261612780688384,302003214,11.403,0.413,3.058,0.091,2.083,0.143,2.356,0.188,-1.253,0.214,-2.983,0.204,1.922,0.103,3.562,0.092,2.541,0.054,2.679,0.056,0.856,0.02,12.184,0.001,10.657,0.0,1.526,0.319,1.0,0.0,no inspected
35473440567728512,302013121,9.508,1.965,2.757,0.329,1.635,0.396,1.473,0.429,-0.867,0.411,-2.934,0.354,0.955,0.217,2.163,0.173,1.856,0.117,2.104,0.113,0.497,0.018,13.493,0.001,11.994,0.001,1.499,0.478,0.956,0.066,no inspected
36263684485504640,159403019,9.558,0.262,2.403,0.064,1.302,0.102,3.418,0.148,-0.182,0.165,-1.435,0.123,0.722,0.063,1.916,0.062,2.089,0.038,2.414,0.035,1.815,0.017,12.008,0.001,10.422,0.0,1.586,1.717,0.502,0.553,no inspected
37390752625470336,195401128,10.085,0.461,2.721,0.101,1.399,0.156,1.432,0.193,-0.775,0.185,-2.539,0.135,0.711,0.077,1.91,0.081,1.96,0.052,2.175,0.045,1.148,0.02,12.16,0.001,10.465,0.0,1.695,0.765,0.608,0.576,no inspected
39198590260021760,254210243,10.029,1.391,2.378,0.253,1.619,0.371,2.074,0.42,-0.236,0.423,-2.693,0.339,1.009,0.18,1.981,0.167,1.745,0.119,2.015,0.113,0.457,0.016,14.178,0.002,12.474,0.001,1.703,0.774,0.999,0.001,no inspected
39371660262502400,686010089,10.665,0.264,1.728,0.067,1.378,0.098,1.191,0.144,-0.71,0.15,-1.86,0.112,0.956,0.071,2.229,0.069,2.154,0.048,2.607,0.043,1.516,0.023,11.085,0.0,9.49,0.0,1.595,0.393,0.983,0.025,no inspected
40179388991819648,423001221,8.996,3.313,1.197,0.705,0.895,0.727,1.042,0.811,-0.84,0.74,-4.119,0.498,1.143,0.292,2.381,0.241,2.245,0.173,2.574,0.154,0.304,0.019,13.529,0.001,11.865,0.001,1.664,-0.72,0.812,0.279,no inspected
40179388991819648,427907135,10.146,2.185,1.293,0.433,1.03,0.573,1.149,0.555,-2.206,0.68,-2.31,0.396,1.28,0.243,2.459,0.222,2.238,0.16,2.662,0.151,0.304,0.019,13.529,0.001,11.865,0.001,1.664,-0.72,1.0,0.0,no inspected
40179388991819648,724316198,9.117,2.613,0.918,0.597,1.034,0.586,1.211,0.703,-1.008,0.687,-1.8,0.414,1.116,0.27,2.164,0.235,2.126,0.165,2.477,0.167,0.304,0.019,13.529,0.001,11.865,0.001,1.664,-0.72,1.0,0.0,no inspected
40865484245811072,195410211,10.303,0.609,2.13,0.137,1.589,0.207,1.728,0.293,-0.475,0.293,-2.501,0.215,0.901,0.129,1.701,0.121,1.898,0.084,2.249,0.076,0.767,0.015,13.047,0.001,11.399,0.0,1.648,0.823,0.613,0.572,no inspected
40885962649869056,308911090,11.461,1.226,2.225,0.27,1.501,0.322,2.536,0.385,-0.729,0.395,-2.26,0.346,0.978,0.237,2.217,0.202,2.253,0.129,2.7,0.124,1.024,0.015,12.308,0.001,10.581,0.001,1.727,0.632,0.999,0.001,no inspected
42918616053290240,605513250,7.903,2.174,1.939,0.37,0.677,0.391,2.648,0.509,-1.352,0.445,-1.231,0.371,1.366,0.203,1.536,0.192,1.407,0.143,1.433,0.138,0.682,0.02,12.32,0.001,10.48,0.001,1.84,-0.352,0.895,0.156,no inspected
43271834164190592,605512222,9.975,4.541,2.932,0.912,1.414,1.109,1.585,1.24,-0.522,1.316,-3.066,1.329,1.161,0.668,2.339,0.605,2.128,0.386,2.425,0.398,0.827,0.015,12.682,0.001,11.025,0.001,1.657,0.613,0.848,0.226,no inspected
43271834164190592,804610161,8.176,5.086,2.5,1.094,1.05,1.262,1.717,1.369,-1.03,1.538,-1.995,1.171,1.004,0.638,2.187,0.508,2.138,0.349,2.583,0.357,0.827,0.015,12.682,0.001,11.025,0.001,1.657,0.613,0.777,0.331,no inspected
43711432656388096,427903249,9.938,0.309,2.506,0.071,1.85,0.105,1.793,0.139,-0.36,0.13,-1.424,0.12,0.766,0.069,1.74,0.06,2.061,0.04,2.254,0.039,1.233,0.021,11.557,0.001,10.035,0.0,1.522,0.49,0.981,0.028,no inspected
43856602552342528,725403220,11.13,2.344,2.294,0.447,1.658,0.508,2.206,0.559,-0.497,0.61,-1.627,0.571,1.59,0.322,2.568,0.267,2.084,0.193,2.385,0.184,0.233,0.021,14.562,0.001,13.018,0.0,1.544,-0.145,1.0,0.0,no inspected
44377221307145216,498711028,9.588,0.207,2.493,0.057,1.957,0.084,1.604,0.111,-0.697,0.129,-2.317,0.1,0.986,0.06,2.289,0.06,2.092,0.035,2.315,0.035,0.904,0.02,11.881,0.001,10.424,0.0,1.457,0.205,0.927,0.107,no inspected
44615265574405504,416807238,10.685,0.702,2.563,0.135,0.607,0.212,2.113,0.243,-1.111,0.26,-3.167,0.144,0.679,0.096,2.247,0.074,2.0,0.05,2.347,0.047,1.007,0.015,11.072,0.001,9.258,0.0,1.814,-0.726,0.513,0.586,no inspected
44615265574405504,427903106,10.038,0.436,2.269,0.084,0.875,0.111,2.449,0.14,-1.57,0.157,-2.444,0.143,0.801,0.078,2.441,0.059,1.969,0.04,2.261,0.04,1.007,0.015,11.072,0.001,9.258,0.0,1.814,-0.726,0.998,0.003,no inspected
44877499097501952,406413189,10.927,0.523,2.918,0.106,1.763,0.144,1.256,0.18,-0.77,0.2,-2.382,0.118,1.359,0.088,2.723,0.074,2.224,0.047,2.431,0.047,1.378,0.018,11.315,0.001,9.726,0.0,1.59,0.422,1.0,0.0,no inspected
44877499097501952,416805142,10.552,0.534,2.824,0.117,1.718,0.152,1.351,0.197,-0.672,0.179,-2.758,0.139,1.005,0.094,2.083,0.078,1.8,0.048,2.18,0.05,1.378,0.018,11.315,0.001,9.726,0.0,1.59,0.422,0.999,0.002,no inspected
45153235997332224,686003025,9.613,0.627,2.741,0.134,2.545,0.152,2.141,0.193,-0.373,0.174,-1.122,0.171,0.838,0.089,2.142,0.082,2.231,0.052,2.565,0.049,0.823,0.014,13.539,0.001,11.653,0.001,1.886,1.231,0.673,0.456,no inspected
45452646758985728,370503106,3.981,7.6,3.245,1.444,4.618,1.72,5.464,1.874,-0.692,2.304,-1.221,2.433,4.138,0.91,3.051,0.865,1.287,0.824,1.167,0.643,0.715,0.088,17.675,0.01,16.163,0.005,1.512,5.433,0.654,0.513,no inspected
45556069570110848,254211179,10.305,0.336,2.908,0.069,1.753,0.112,1.347,0.152,-0.877,0.156,-2.274,0.134,0.682,0.074,1.839,0.068,2.107,0.042,2.268,0.038,1.101,0.027,12.201,0.001,10.488,0.0,1.713,0.697,0.529,0.642,no inspected
45556069570110848,277302120,9.466,0.572,2.562,0.124,1.646,0.165,1.412,0.216,-0.853,0.189,-1.929,0.135,0.757,0.084,2.05,0.071,2.144,0.049,2.389,0.049,1.101,0.027,12.201,0.001,10.488,0.0,1.713,0.697,0.96,0.059,no inspected
45556069570110848,874707215,10.165,0.442,2.79,0.092,1.93,0.123,1.122,0.162,-0.411,0.145,-2.294,0.108,0.849,0.069,1.812,0.065,2.084,0.048,2.189,0.037,1.101,0.027,12.201,0.001,10.488,0.0,1.713,0.697,0.995,0.008,no inspected
45709726319708544,844809155,9.842,1.538,2.092,0.273,1.649,0.318,2.694,0.329,0.928,0.32,-6.345,0.227,0.589,0.087,4.882,0.075,1.511,0.046,1.461,0.048,0.375,0.024,13.981,0.006,11.256,0.004,2.725,-0.876,0.987,0.019,Confirmed
45783595461131776,686013165,8.813,0.641,1.739,0.125,0.932,0.157,-0.347,0.175,-0.694,0.176,-0.016,0.114,0.837,0.082,1.884,0.069,1.951,0.044,2.159,0.04,0.895,0.016,12.727,0.001,10.897,0.0,1.829,0.658,0.531,0.587,no inspected
46073007537409792,525316226,11.101,1.127,2.813,0.178,1.015,0.261,1.547,0.302,-1.318,0.245,-2.399,0.192,1.109,0.101,2.423,0.082,2.267,0.052,2.654,0.051,1.09,0.021,12.31,0.001,10.35,0.001,1.96,0.537,0.992,0.012,no inspected
46103798159252224,277308159,11.074,3.147,2.576,0.545,1.971,0.571,2.113,0.594,-0.644,0.532,-2.361,0.371,0.876,0.28,1.798,0.24,1.856,0.149,2.102,0.139,0.515,0.015,14.026,0.001,12.205,0.0,1.821,0.766,0.949,0.076,no inspected
46103798159252224,780103238,9.969,1.218,2.49,0.259,2.07,0.308,1.688,0.344,-0.273,0.352,-1.806,0.352,1.084,0.168,1.916,0.162,2.01,0.099,2.076,0.09,0.515,0.015,14.026,0.001,12.205,0.0,1.821,0.766,1.0,0.0,no inspected
47243751199335296,277303112,10.562,4.109,3.197,0.636,1.303,0.758,2.875,0.758,-0.953,0.686,-3.335,0.627,1.47,0.327,2.988,0.226,1.939,0.166,2.103,0.154,0.625,0.018,13.752,0.001,11.95,0.0,1.802,0.929,0.683,0.471,no inspected
47463584805288960,410808038,0.0,0.0,0.0,0.0,3.281,2.13,2.555,2.29,-0.673,2.038,-1.609,1.54,1.189,1.127,2.751,0.978,1.789,0.647,2.275,0.706,0.469,0.017,14.286,0.001,12.56,0.0,1.725,0.914,0.77,0.341,no inspected
47463584805288960,780108038,8.857,0.966,2.702,0.207,2.559,0.253,2.501,0.341,-0.328,0.345,-2.298,0.251,0.913,0.15,1.945,0.134,2.092,0.093,2.367,0.08,0.469,0.017,14.286,0.001,12.56,0.0,1.725,0.914,0.999,0.002,no inspected
47590166081704960,420216013,10.527,1.539,3.004,0.311,1.478,0.456,2.105,0.461,-1.072,0.491,-2.393,0.338,0.932,0.207,2.621,0.181,2.309,0.122,2.581,0.113,0.816,0.018,12.849,0.001,10.889,0.0,1.96,0.448,0.638,0.536,no inspected
47590166081704960,844812244,10.719,0.606,2.708,0.127,1.18,0.17,2.494,0.219,-0.755,0.204,-2.675,0.206,1.101,0.105,2.448,0.089,1.753,0.053,2.338,0.04,0.816,0.018,12.849,0.001,10.889,0.0,1.96,0.448,0.967,0.049,no inspected
48707132456276736,249308227,0.0,0.0,0.0,0.0,2.286,2.52,2.488,2.665,-3.089,3.845,-0.849,1.695,2.143,0.833,2.609,0.756,2.029,0.593,2.265,0.489,0.248,0.049,16.287,0.008,14.492,0.001,1.795,1.468,0.871,0.192,no inspected
49140580556482944,780011039,10.705,1.006,2.125,0.235,2.112,0.281,2.479,0.355,0.298,0.375,-0.992,0.325,1.556,0.203,2.499,0.168,2.074,0.125,2.526,0.117,0.282,0.023,14.844,0.001,13.212,0.0,1.633,0.465,1.0,0.0,no inspected
49470227887117184,401403008,2.97,8.746,2.513,2.073,5.805,2.741,11.092,2.805,9.328,2.983,11.358,2.033,4.345,1.087,5.785,0.916,4.359,0.743,5.232,0.577,1.538,0.111,18.462,0.018,16.554,0.005,1.908,7.489,1.0,0.0,no inspected
49718511356055296,248702081,10.749,0.831,2.361,0.193,1.352,0.282,1.981,0.337,-0.527,0.355,-3.123,0.226,0.958,0.136,2.414,0.14,2.447,0.086,2.876,0.081,1.11,0.024,12.371,0.001,10.599,0.0,1.772,0.826,0.747,0.375,no inspected
49718511356055296,277310114,11.759,0.923,2.516,0.177,1.6,0.228,1.95,0.28,-0.62,0.255,-3.093,0.18,1.143,0.102,2.413,0.092,2.369,0.053,2.674,0.057,1.11,0.024,12.371,0.001,10.599,0.0,1.772,0.826,1.0,0.0,no inspected
49718511356055296,427913118,10.831,5.226,2.512,0.844,1.31,0.972,2.103,1.047,-1.137,0.913,-1.434,0.595,1.171,0.387,2.454,0.31,1.997,0.257,2.465,0.238,1.11,0.024,12.371,0.001,10.599,0.0,1.772,0.826,0.98,0.029,no inspected
49718511356055296,804613128,9.776,2.816,2.631,0.49,1.617,0.571,1.894,0.577,-0.741,0.581,-1.63,0.396,1.023,0.23,2.261,0.196,2.089,0.129,2.436,0.116,1.11,0.024,12.371,0.001,10.599,0.0,1.772,0.826,0.992,0.011,no inspected
49868010577728640,284711053,7.86,1.723,2.093,0.363,1.283,0.522,1.883,0.582,0.595,0.747,-1.099,0.505,1.125,0.334,1.64,0.259,1.51,0.287,1.5,0.224,0.268,0.02,14.785,0.001,13.257,0.001,1.528,0.402,0.995,0.008,no inspected
49868010577728640,698309115,6.039,3.614,1.563,0.705,1.17,0.751,1.543,0.884,0.029,0.975,-2.358,0.609,1.245,0.331,1.822,0.291,1.647,0.247,1.684,0.245,0.268,0.02,14.785,0.001,13.257,0.001,1.528,0.402,0.777,0.331,no inspected
50001498161357824,874703207,8.224,0.257,2.581,0.064,1.84,0.089,2.712,0.116,0.426,0.13,-0.685,0.114,0.711,0.062,1.467,0.057,1.773,0.04,1.835,0.037,2.163,0.017,12.558,0.001,11.034,0.0,1.524,2.709,0.541,0.449,no inspected
50258852602407296,248703015,12.588,2.494,1.942,0.471,2.424,0.562,3.186,0.595,-0.53,0.656,-2.49,0.54,2.588,0.242,3.099,0.224,2.067,0.132,2.572,0.119,0.265,0.018,13.651,0.001,11.808,0.0,1.843,-1.076,1.0,0.0,no inspected
50258852602407296,277314085,10.225,2.806,1.811,0.453,1.891,0.577,3.584,0.512,-0.74,0.499,-1.974,0.39,2.489,0.166,3.278,0.159,2.338,0.101,2.717,0.105,0.265,0.018,13.651,0.001,11.808,0.0,1.843,-1.076,1.0,0.0,no inspected
50413059107588352,248710114,9.244,0.421,2.89,0.09,2.476,0.154,3.086,0.197,0.284,0.2,-2.663,0.153,1.217,0.099,2.322,0.105,2.027,0.066,2.173,0.067,3.548,0.02,11.34,0.0,10.031,0.0,1.309,2.78,1.0,0.0,no inspected
50413059107588352,427912188,10.948,0.592,3.049,0.11,2.684,0.18,3.329,0.25,0.651,0.241,-2.989,0.236,1.122,0.152,2.507,0.141,2.121,0.1,2.272,0.096,3.548,0.02,11.34,0.0,10.031,0.0,1.309,2.78,1.0,0.0,no inspected
50413059107588352,804612178,8.33,0.915,2.809,0.204,2.548,0.304,3.61,0.358,0.544,0.408,-2.33,0.482,0.929,0.258,2.36,0.256,1.984,0.161,2.219,0.154,3.548,0.02,11.34,0.0,10.031,0.0,1.309,2.78,0.998,0.003,no inspected
50441371531984768,797308224,9.852,0.207,2.355,0.046,1.815,0.066,1.997,0.091,-0.67,0.102,-2.26,0.08,0.759,0.052,1.872,0.048,2.049,0.033,2.292,0.028,1.277,0.018,11.309,0.001,9.774,0.0,1.535,0.304,0.984,0.023,no inspected
50552009890599168,874711052,10.607,0.693,2.201,0.187,2.037,0.29,2.162,0.366,-0.293,0.42,-1.56,0.31,1.44,0.18,2.187,0.183,1.307,0.115,2.058,0.106,0.61,0.018,12.862,0.0,11.443,0.0,1.419,0.37,1.0,0.0,no inspected
50586129110268288,248714175,10.197,1.154,2.537,0.235,1.451,0.337,1.574,0.418,-0.604,0.421,-2.446,0.394,0.895,0.207,2.001,0.179,1.926,0.12,2.246,0.121,0.564,0.019,13.215,0.001,11.662,0.0,1.554,0.418,0.962,0.057,no inspected
50804863204658432,416806127,9.695,0.856,2.707,0.197,1.572,0.254,1.238,0.331,-0.78,0.298,-2.027,0.221,0.71,0.144,1.924,0.119,1.878,0.08,2.065,0.084,1.343,0.021,11.483,0.001,9.893,0.0,1.59,0.534,0.573,0.63,no inspected
50804863204658432,427916128,9.741,0.338,2.989,0.08,1.716,0.115,0.939,0.168,-0.985,0.163,-1.965,0.111,1.04,0.095,2.412,0.086,1.994,0.065,2.174,0.059,1.343,0.021,11.483,0.001,9.893,0.0,1.59,0.534,0.985,0.023,no inspected
50912718422912768,797305216,9.251,0.334,2.389,0.08,1.429,0.112,0.081,0.158,-0.902,0.137,-2.895,0.109,1.103,0.076,2.096,0.071,2.059,0.045,2.21,0.047,0.726,0.021,12.413,0.001,10.843,0.0,1.57,0.149,0.961,0.057,no inspected
51148426228305920,416813032,11.175,3.088,2.604,0.459,1.574,0.528,1.835,0.572,-0.794,0.578,-2.605,0.422,0.913,0.243,2.071,0.198,2.195,0.139,2.53,0.134,0.57,0.015,13.005,0.001,11.452,0.0,1.553,0.23,0.973,0.039,no inspected
51148426228305920,712113043,10.426,0.966,2.591,0.163,1.975,0.199,2.107,0.221,-0.782,0.252,-1.966,0.177,0.858,0.11,2.196,0.1,2.114,0.065,2.541,0.061,0.57,0.015,13.005,0.001,11.452,0.0,1.553,0.23,0.999,0.001,no inspected
51148426228305920,797303242,9.997,0.566,2.566,0.129,1.759,0.161,2.027,0.207,-0.871,0.211,-1.325,0.204,0.951,0.13,2.287,0.108,2.13,0.082,2.469,0.073,0.57,0.015,13.005,0.001,11.452,0.0,1.553,0.23,1.0,0.001,no inspected
51257174800135296,423016072,10.782,1.091,2.499,0.226,1.786,0.313,1.817,0.37,-0.852,0.356,-2.193,0.266,1.103,0.16,2.433,0.137,2.093,0.086,2.409,0.087,0.931,0.023,12.017,0.001,10.485,0.0,1.532,0.329,1.0,0.0,no inspected
51257174800135296,797305104,10.996,0.438,2.574,0.114,1.601,0.145,1.881,0.18,-0.666,0.16,-2.774,0.155,1.246,0.092,2.501,0.073,2.159,0.06,2.612,0.056,0.931,0.023,12.017,0.001,10.485,0.0,1.532,0.329,1.0,0.0,no inspected
51257174800135296,874716070,11.535,0.323,2.584,0.067,1.742,0.088,1.796,0.115,-0.69,0.127,-3.253,0.097,1.109,0.064,2.243,0.052,2.389,0.041,2.696,0.039,0.931,0.023,12.017,0.001,10.485,0.0,1.532,0.329,1.0,0.001,no inspected
51378632177753856,248714245,9.287,1.225,3.536,0.282,2.203,0.419,1.202,0.501,-0.347,0.464,-1.937,0.386,0.975,0.213,1.745,0.197,1.737,0.116,1.813,0.114,0.752,0.015,12.767,0.001,11.244,0.0,1.524,0.624,0.954,0.068,no inspected
52322739006103552,404310155,0.0,0.0,0.0,0.0,0.465,2.687,2.051,2.605,-0.843,2.931,-0.773,1.772,2.607,0.851,3.76,0.674,2.41,0.551,2.836,0.491,0.532,0.019,11.972,0.001,10.136,0.0,1.837,-1.235,1.0,0.0,no inspected
53322744832099328,160102203,12.765,1.291,3.454,0.258,2.331,0.356,1.942,0.481,-0.639,0.484,-3.902,0.317,1.884,0.162,2.636,0.168,1.796,0.09,1.765,0.1,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.987,0.019,no inspected
53322744832099328,264502223,10.832,4.239,2.895,0.798,1.972,1.066,1.859,1.171,-0.91,0.956,-3.672,0.633,1.717,0.489,2.534,0.469,2.103,0.319,1.982,0.315,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.939,0.09,no inspected
53322744832099328,480707085,10.177,1.161,3.293,0.218,2.277,0.347,1.579,0.436,-2.493,0.491,-4.344,0.332,2.093,0.189,3.028,0.181,2.188,0.132,1.937,0.136,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.927,0.088,no inspected
53322744832099328,758707085,10.328,0.578,3.124,0.126,1.958,0.182,1.748,0.219,-1.669,0.29,-3.785,0.209,2.015,0.115,2.923,0.113,2.166,0.075,2.072,0.077,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.907,0.121,no inspected
53322744832099328,760707085,10.683,0.503,3.203,0.106,2.146,0.158,1.854,0.224,-1.237,0.234,-3.856,0.17,2.123,0.107,3.001,0.102,2.196,0.072,2.136,0.072,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.951,0.044,no inspected
53322744832099328,781707085,10.505,0.873,3.312,0.161,2.112,0.21,2.061,0.266,-1.683,0.322,-3.762,0.223,2.016,0.138,2.937,0.127,2.169,0.09,2.037,0.096,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.948,0.061,no inspected
53322744832099328,780607085,10.25,0.614,3.141,0.119,2.21,0.192,1.773,0.244,-1.24,0.277,-3.717,0.202,2.078,0.132,2.994,0.119,2.231,0.092,2.066,0.091,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.955,0.059,no inspected
53322744832099328,781407085,10.436,0.251,3.161,0.06,2.19,0.081,1.788,0.103,-1.263,0.127,-3.798,0.102,1.988,0.058,2.841,0.053,1.989,0.041,1.914,0.041,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.947,0.04,no inspected
53322744832099328,792507085,10.3,0.332,3.157,0.072,2.132,0.117,1.948,0.134,-1.223,0.176,-3.791,0.12,2.013,0.071,2.863,0.069,2.091,0.053,2.027,0.051,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.944,0.039,no inspected
53322744832099328,795607085,10.455,0.293,3.191,0.058,2.078,0.094,1.84,0.117,-1.496,0.151,-3.874,0.106,1.951,0.063,2.796,0.06,1.941,0.045,1.849,0.047,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.94,0.046,no inspected
53322744832099328,797309080,10.483,0.522,3.071,0.109,1.962,0.178,2.025,0.238,-0.958,0.242,-4.387,0.182,1.813,0.119,2.569,0.121,1.779,0.085,1.748,0.089,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.961,0.048,no inspected
53322744832099328,807607085,9.992,2.069,3.112,0.361,1.752,0.487,1.855,0.529,-1.563,0.65,-3.472,0.46,1.878,0.284,2.714,0.24,2.011,0.19,1.852,0.17,0.574,0.014,13.184,0.001,11.662,0.0,1.522,0.458,0.97,0.045,no inspected
